iter	Passed	Remaining
892	14372	25219
893	14388	25203
894	14403	25186
895	14420	25171
896	14436	25154
897	14452	25139
898	14469	25124
899	14485	25108
900	14501	25092
901	14518	25076
902	14534	25060
903	14549	25043
904	14565	25026
905	14580	25009
906	14596	24993
907	14610	24973
908	14626	24956
909	14642	24939
910	14658	24924
911	14675	24909
912	14691	24893
913	14707	24877
914	14721	24857
915	14736	24840
916	14753	24824
917	14769	24809
918	14785	24792
919	14801	24776
920	14817	24759
921	14832	24742
922	14849	24728
923	14865	24712
924	14881	24695
925	14897	24679
926	14914	24663
927	14930	24648
928	14946	24632
929	14962	24616
930	14979	24600
931	14995	24584
932	15011	24568
933	15027	24552
934	15040	24530
935	15055	24513
936	15071	24496
937	15087	24481
938	15104	24466
939	15121	24451
940	15137	24435
941	15154	24420
942	15170	24404
943	15186	24388
944	15202	24372
945	15218	24355
946	15234	24340
947	15251	24324
948	15267	24308
949	15283	24292
950	15299	24276
951	15315	24260
952	15331	24243
953	15347	24227
954	15363	24211
955	15379	24195
956	15395	24179
957	15411	24162
958	15422	24138
959	15437	24121
960	15454	24105
961	15470	24090
962	15486	24073
963	15502	24058
964	15518	24041
965	15534	24024
966	15549	24008
967	15565	23991
968	15581	23975
969	15597	23959
970	15615	23945
971	15631	23930
972	15649	23915
973	15664	23898
974	15680	23882
975	15696	23866
976	15712	23850
977	15728	23834
978	15745	23818
979	15761	23802
980	15777	23786
981	15793	23771
982	15809	23754
983	15826	23739
984	15842	23723
985	15858	23707
986	15874	23691
987	15891	23676
988	15907	23659
989	15923	23643
990	15939	23628
991	15955	23611
992	15971	23595
993	15987	23579
994	16003	23562
995	16019	23546
996	16035	23530
997	16052	23516
998	16069	23500
999	16086	23486
1000	16104	23472
1001	16120	23456
1002	16137	23441
1003	16152	23424
1004	16168	23408
1005	16185	23392
1006	16200	23376
1007	16216	23360
1008	16233	23344
1009	16248	23327
1010	16264	23310
1011	16280	23294
1012	16296	23278
1013	16311	23261
1014	16327	23244
1015	16343	23228
1016	16359	23212
1017	16376	23196
1018	16392	23181
1019	16409	23165
1020	16425	23149
1021	16441	23133
1022	16456	23116
1023	16472	23100
1024	16489	23085
1025	16505	23069
1026	16522	23053
1027	16538	23038
1028	16555	23022
1029	16571	23007
1030	16588	22991
1031	16603	22974
1032	16620	22959
1033	16637	22944
1034	16653	22928
1035	16669	22911
1036	16685	22895
1037	16700	22879
1038	16717	22863
1039	16733	22847
1040	16749	22830
1041	16765	22815
1042	16782	22799
1043	16797	22783
1044	16814	22767
1045	16830	22751
1046	16846	22735
1047	16862	22719
1048	16878	22703
1049	16894	22687
1050	16911	22671
1051	16927	22655
1052	16942	22638
1053	16958	22622
1054	16976	22608
1055	16992	22592
1056	17003	22569
1057	17018	22551
1058	17034	22535
1059	17050	22519
1060	17066	22503
1061	17084	22489
1062	17100	22473
1063	17117	22458
1064	17132	22441
1065	17149	22425
1066	17166	22411
1067	17182	22395
1068	17198	22378
1069	17214	22362
1070	17229	22345
1071	17245	22329
1072	17261	22312
1073	17277	22296
1074	17293	22280
1075	17309	22264
1076	17325	22248
1077	17343	22234
1078	17360	22219
1079	17375	22202
1080	17392	22186
1081	17407	22170
1082	17423	22153
1083	17439	22137
1084	17455	22121
1085	17471	22105
1086	17487	22088
1087	17503	22072
1088	17520	22056
1089	17535	22040
1090	17553	22026
1091	17569	22010
1092	17585	21994
1093	17603	21979
1094	17619	21963
1095	17634	21946
1096	17650	21930
1097	17667	21915
1098	17683	21899
1099	17695	21878
1100	17710	21861
1101	17726	21845
1102	17743	21829
1103	17759	21813
1104	17775	21797
1105	17792	21782
1106	17804	21761
1107	17819	21743
1108	17835	21727
1109	17852	21712
1110	17869	21697
1111	17884	21680
1112	17900	21664
1113	17916	21647
1114	17932	21631
1115	17948	21615
1116	17964	21599
1117	17981	21584
1118	17998	21569
1119	18014	21552
1120	18030	21536
1121	18046	21520
1122	18063	21505
1123	18080	21490
1124	18096	21474
1125	18113	21459
1126	18129	21443
1127	18145	21426
1128	18161	21410
1129	18177	21394
1130	18193	21379
1131	18213	21366
1132	18228	21350
1133	18245	21334
1134	18261	21318
1135	18277	21301
1136	18293	21286
1137	18309	21270
1138	18326	21255
1139	18343	21239
1140	18358	21222
1141	18373	21205
1142	18390	21189
1143	18405	21173
1144	18421	21156
1145	18437	21140
1146	18454	21124
1147	18470	21108
1148	18486	21093
1149	18502	21076
1150	18517	21059
1151	18533	21043
1152	18550	21027
1153	18566	21012
1154	18582	20996
1155	18599	20980
1156	18615	20964
1157	18631	20948
1158	18648	20932
1159	18664	20917
1160	18680	20900
1161	18696	20884
1162	18712	20868
1163	18728	20852
1164	18744	20836
1165	18760	20820
1166	18776	20803
1167	18792	20787
1168	18808	20771
1169	18824	20755
1170	18841	20739
1171	18857	20723
1172	18873	20707
1173	18888	20690
1174	18905	20675
1175	18921	20659
1176	18937	20643
1177	18953	20626
1178	18969	20610
1179	18985	20594
1180	19001	20578
1181	19018	20562
1182	19034	20547
1183	19051	20531
1184	19068	20516
1185	19083	20499
1186	19100	20484
1187	19117	20468
1188	19133	20452
1189	19149	20436
1190	19164	20420
1191	19181	20404
1192	19197	20388
1193	19213	20371
1194	19229	20355
1195	19245	20339
1196	19260	20322
1197	19276	20306
1198	19293	20290
1199	19308	20274
1200	19325	20258
1201	19341	20242
1202	19357	20226
1203	19369	20206
1204	19384	20189
1205	19400	20172
1206	19416	20156
1207	19431	20139
1208	19447	20123
1209	19463	20106
1210	19479	20090
1211	19494	20073
1212	19510	20057
1213	19526	20041
